City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
267,nicoya,10.1483,-85.452,30.54,47,6,5.57,CR,1738683506
268,zaozersk,69.4005,32.4476,-22.89,99,90,3.24,RU,1738683507
269,springhill,33.006,-93.4668,21.35,84,49,1.86,US,1738683439
270,jamestown,42.097,-79.2353,-1.66,83,100,6.17,US,1738683509
271,sisimiut,66.9395,-53.6735,-19.57,95,100,2.95,GL,1738683510
272,kuzovatovo,53.5468,47.6866,-2.54,95,100,5.2,RU,1738683511
273,talnakh,69.4865,88.3972,-19.83,100,100,1.96,RU,1738683512
274,fale old settlement,-9.3852,-171.2468,28.16,73,22,6.28,TK,1738683514
275,jambi city,-1.6,103.6167,23.89,93,100,0.82,ID,1738683515
276,saint-pierre,-21.3393,55.4781,28.82,84,100,2.57,RE,1738683516
277,kachug,53.9606,105.8817,-16.25,91,100,6.53,RU,1738683517
278,bhamo,24.2667,97.2333,17.14,50,0,0.74,MM,1738683518
279,yuanlin,30.4151,112.8859,8.57,51,84,0.95,CN,1738683519
280,amalapuram,16.5833,82.0167,21.45,78,19,0.99,IN,1738683520
281,yaren,-0.5472,166.916,26.78,83,98,7.71,NR,1738683521
282,ha giang,22.8333,104.9833,10.83,93,63,0.61,VN,1738683522
283,adh dhibiyah,24.5014,45.9686,19.37,16,0,4.6,SA,1738683524
284,broken hill,-31.95,141.4333,27.9,42,69,3.13,AU,1738683525
285,milagros,12.2181,123.5095,24.21,84,96,4.78,PH,1738683526
286,guerrero negro,27.9769,-114.0611,15.91,79,29,0.82,MX,1738683527
287,taoudenni,22.6783,-3.9836,24.98,11,0,5.39,ML,1738683529
288,taroa,8.7058,171.2275,26.84,82,35,10.95,MH,1738683530
289,yarkovo,57.4028,67.0786,-8.0,96,96,1.88,RU,1738683531
290,ialibu,-6.2821,143.9935,14.84,96,100,0.35,PG,1738683532
291,bokajan,26.0167,93.7833,16.63,63,11,0.84,IN,1738683533
292,omutinskiy,56.4745,67.6709,-10.76,96,98,2.54,RU,1738683534
293,manokwari,-0.8667,134.0833,25.86,79,100,1.76,ID,1738683536
294,ghormach,35.7306,63.7826,6.43,57,25,2.45,AF,1738683537
295,praya,14.9215,-23.5087,25.3,50,75,10.29,CV,1738683538
296,shalqar,47.8333,59.6,-8.04,85,80,5.74,KZ,1738683539
297,kapa'a,22.0752,-159.319,18.44,88,0,3.09,US,1738683540
298,cox's bazar,21.4532,91.9798,19.61,67,0,3.18,BD,1738683541
299,susuman,62.7833,148.1667,-45.09,97,50,0.5,RU,1738683542
300,soran,49.78,72.8506,-9.92,88,51,5.77,KZ,1738683543
301,ryotsu-minato,38.0833,138.4333,-1.45,67,100,11.13,JP,1738683544
302,rawai,7.7797,98.3253,30.55,69,17,9.09,TH,1738683545
303,nguigmi,14.2495,13.1092,30.3,10,32,3.2,NE,1738683547
304,hasaki,35.7333,140.8333,5.59,46,74,6.93,JP,1738683548
305,luanda,-8.8368,13.2343,27.24,74,100,3.56,AO,1738683062
306,remire-montjoly,4.9167,-52.2667,27.02,89,75,3.09,GF,1738683550
307,road town,18.4167,-64.6167,27.02,69,40,5.14,VG,1738683346
308,shendi,16.6915,33.4341,30.9,22,2,4.29,SD,1738683552
309,bukama,-9.2,25.85,23.2,91,100,1.08,CD,1738683555
310,minas de marcona,-15.2119,-75.1103,21.35,68,79,4.24,PE,1738683557
311,balkanabat,39.5108,54.3671,7.87,44,0,3.31,TM,1738683558
312,petlawad,23.0,74.8,22.11,28,32,3.41,IN,1738683559
313,novoishimskiy,53.1981,66.7694,-10.27,94,100,2.21,KZ,1738683560
314,ivdel',60.6911,60.4206,-19.45,99,99,1.49,RU,1738683561
315,inirida,3.8653,-67.9239,34.21,43,74,1.39,CO,1738683562
316,aykhal,66.0,111.5,-39.05,100,99,4.79,RU,1738683563
317,puerto leguizamo,-0.1934,-74.7819,32.98,38,61,2.47,CO,1738683564
318,kouvola,60.8667,26.7,-11.9,84,0,2.57,FI,1738683565
319,san matias,-16.3667,-58.4,33.96,47,93,1.97,BO,1738683566
320,flying fish cove,-10.4217,105.6791,26.82,94,100,6.17,CX,1738683567
321,chui,-33.6971,-53.4616,34.82,40,0,2.65,UY,1738683569
322,kargasok,59.0556,80.8572,-19.53,100,60,2.25,RU,1738683570
323,queenstown,-31.8976,26.8753,33.5,20,70,4.28,ZA,1738683571
324,hono,57.6897,11.6497,4.6,87,100,9.33,SE,1738683572
325,klyuchi,52.2667,79.1667,-3.87,96,100,2.83,RU,1738683573
326,krasnyy chikoy,50.3643,108.7512,-16.17,92,100,5.62,RU,1738683574
